"length","weight","sex","maturity"
35,331.3,"M","3"
35,234.1,"M","3"
22,73.4,"M","3"
27,141.1,"F","4"
38,404.2,"F","4"
31,270.6,"M","3"
14,19.8,"F","4"
32,228.6,"M","2"
19,55,"F","1"
32,249.1,"F","1"
22,88.6,"M","4"
35,325.1,"F","1"
20,55.1,"F","1"
12,13.1,"F","2"
21,63.9,"M","4"
21,84.5,"M","1"
29,175.7,"M","4"
21,85.4,"M","4"
28,147.7,"M","3"
22,93.5,"F","2"
31,168.3,"M","2"
15,23.6,"M","2"
36,249.7,"M","2"
33,228.1,"F","3"
31,225.5,"M","3"
35,273.1,"F","4"
26,111.9,"F","3"
19,48.9,"F","1"
27,162.1,"M","4"
43,467.4,"M","2"
17,43.1,"M","3"
17,42.6,"M","3"
12,13.9,"F","2"
24,93.6,"M","2"
29,163.4,"M","2"
29,169.8,"F","1"
38,443.6,"F","2"
12,16.5,"M","2"
28,163,"F","2"
38,420.1,"M","1"
32,268.5,"F","2"
34,258.2,"F","1"
21,73.6,"M","4"
13,15.6,"F","4"
26,119.9,"F","4"
34,225.8,"M","3"
21,58,"F","3"
34,244.3,"F","2"
33,291.8,"F","3"
33,305.2,"M","2"
29,205.5,"F","4"
24,104.5,"F","4"
24,103.8,"M","3"
37,302.5,"F","3"
38,335.6,"M","2"
28,128,"F","2"
21,60.4,"M","1"
17,33.2,"M","1"
17,32.7,"F","1"
33,263.7,"M","2"
32,264.5,"M","2"
44,550.2,"M","2"
28,152.1,"M","2"
35,354.7,"M","1"
32,216.8,"F","2"
27,121.9,"F","3"
38,352.7,"F","1"
25,101.6,"F","4"
31,226.5,"F","3"
16,28.8,"F","4"
21,61.9,"F","4"
27,124.5,"F","4"
34,307.9,"F","1"
38,361.6,"M","3"
19,59.3,"M","3"
31,172.9,"F","4"
37,414.2,"M","1"
32,226.8,"M","1"
22,79.6,"M","2"
19,50.2,"F","4"
28,158.3,"F","3"
26,140.3,"F","2"
29,184.6,"M","2"
20,68.1,"F","4"
27,150.1,"F","4"
28,138.5,"M","2"
39,483.9,"F","2"
20,60.9,"M","3"
21,65.2,"M","2"
39,514.1,"F","2"
26,112.6,"M","4"
28,147.3,"F","1"
28,159.8,"F","2"
36,301,"F","2"
37,317.6,"F","2"
25,125.3,"F","2"
34,301.6,"M","4"
19,52.7,"M","2"
27,114.8,"F","4"
31,202.4,"M","2"
38,383.5,"F","4"
27,125.9,"F","2"
15,28.2,"F","2"
34,274.2,"M","1"
32,238.1,"M","1"
13,19.1,"F","3"
23,99.3,"F","1"
39,425.5,"F","1"
13,20.3,"F","2"
39,319.4,"M","4"
34,207.7,"F","2"
21,85.4,"F","4"
39,437.5,"F","3"
31,211.1,"M","1"
25,110.4,"M","2"
35,276.7,"F","2"
37,359.4,"M","1"
16,34.7,"F","2"
16,28.5,"F","2"
32,232.6,"M","4"
24,103.2,"M","3"
33,292.5,"F","2"
30,172.3,"F","1"
29,138.5,"F","2"
31,219,"F","4"
24,95,"M","4"
25,131.9,"M","3"
41,389,"F","2"
25,119.3,"M","3"
22,85.1,"F","4"
24,103.6,"M","3"
23,98.9,"M","4"
22,90.4,"M","4"
34,258.5,"F","2"
19,52.2,"F","1"
33,269.8,"M","2"
39,387.9,"M","2"
26,136.4,"F","3"
40,346.8,"F","1"
33,272.1,"M","3"
35,297.9,"M","4"
29,238.8,"M","2"
37,392.9,"M","4"
29,169.3,"F","2"
17,47.7,"F","3"
21,66.3,"F","3"
37,377.3,"M","3"
18,47.1,"F","1"
34,223.4,"F","1"
34,256,"F","1"
38,347.2,"F","3"
25,94.7,"M","1"
31,216.4,"M","3"
35,320.4,"F","2"
23,103.1,"M","1"
22,74.2,"F","1"
35,289.6,"M","1"
29,188.7,"M","2"
31,219.7,"F","1"
28,128.3,"F","2"
26,127.8,"M","2"
30,208.1,"M","3"
28,135,"M","2"
29,174.7,"F","2"
31,210.2,"M","2"
21,61,"M","1"
27,142.9,"F","4"
14,18.1,"F","3"
29,153,"M","2"
32,221.6,"F","3"
22,76.6,"M","2"
30,224.1,"F","4"
38,359.6,"M","4"
22,70.6,"F","2"
25,146.4,"M","2"
23,89.2,"M","2"
22,68.8,"F","1"
34,296.9,"M","2"
13,14.7,"M","2"
24,105,"M","2"
31,201.2,"F","4"
32,178.2,"F","3"
37,375.7,"M","4"
18,36.9,"F","3"
8,4.2,"M","3"
33,213.3,"M","1"
32,215.7,"M","1"
16,33.5,"M","4"
30,185.1,"M","1"
15,30.5,"M","1"
17,39.2,"M","2"
37,323.6,"F","2"
36,272.4,"F","4"
35,271.9,"M","2"
24,79.5,"F","1"
8,5.3,"M","3"
36,247.4,"F","4"
26,112.9,"M","3"
42,480.5,"F","3"
26,161.7,"F","1"
32,210.7,"M","1"
41,469.9,"F","3"
25,124.7,"F","3"
23,89.6,"M","3"
24,104.4,"F","1"
30,214,"F","1"
30,187.7,"M","2"
35,334.1,"M","3"
10,7.2,"F","1"
21,76.5,"M","2"
35,289.9,"F","2"
24,107.7,"F","3"
27,137.5,"M","2"
30,180.3,"F","1"
21,66.5,"M","1"
30,169.5,"F","3"
25,125.4,"M","2"
22,72.4,"M","4"
30,229.3,"F","1"
40,430.3,"M","3"
33,334.9,"F","2"
34,281.6,"F","3"
20,62.2,"M","3"
36,371.1,"M","3"
10,8.3,"F","3"
21,66,"F","3"
38,478.6,"F","1"
28,126.6,"M","4"
19,55.4,"F","2"
38,369.7,"M","1"
30,167.3,"M","1"
32,302.2,"M","4"
25,116.7,"F","4"
34,284.2,"M","4"
24,97.9,"M","4"
29,162.8,"M","2"
20,64.9,"F","4"
41,416.2,"F","3"
34,312.3,"F","3"
28,140.2,"F","1"
40,396.7,"M","4"
37,388.4,"F","2"
25,124.2,"F","4"
26,159.4,"F","3"
32,293.1,"F","2"
35,323.6,"F","1"
34,287.1,"M","1"
19,51.5,"F","4"
26,122.9,"F","4"
36,324.3,"F","4"
38,400.1,"F","2"
40,485,"M","4"
33,310.6,"M","1"
30,183.5,"M","2"
41,498.8,"F","4"
15,23.9,"F","2"
22,79,"F","2"
34,266.5,"F","2"
33,243.9,"F","2"
28,166.1,"F","1"
36,397.4,"F","2"
18,36.3,"M","1"
42,619.2,"M","4"
37,306.3,"M","4"
36,254.2,"F","2"
34,250.3,"F","3"
31,231.4,"F","2"
37,298.5,"M","1"
33,265.4,"F","3"
32,183.2,"F","2"
35,250.8,"F","3"
31,174.9,"M","2"
27,141.1,"F","3"
20,70.7,"F","4"
31,178,"M","4"
31,232.4,"F","3"
38,381.7,"F","3"
22,79.2,"F","4"
14,22.5,"F","3"
34,312.7,"F","4"
26,117.8,"M","1"
41,432.5,"M","2"
24,100.4,"F","4"
35,304.8,"F","1"
20,64.7,"M","4"
21,70.7,"F","3"
41,570.7,"F","1"
37,307.5,"F","1"
36,410.8,"M","3"
30,193.5,"M","2"
28,150.1,"F","3"
35,256.3,"F","2"
25,106.2,"F","1"
39,413.3,"F","2"
38,458.2,"F","4"
20,52.5,"F","3"
31,217.4,"F","2"
40,455.3,"M","4"
38,332.1,"F","1"
37,378.7,"M","4"
32,199.7,"F","4"
33,227,"F","3"
30,190.3,"M","1"
20,61.9,"M","3"
9,5.4,"M","3"
25,122.2,"M","4"
38,362.1,"M","1"
26,129.5,"M","2"
31,189.9,"M","1"
23,87.2,"F","3"
39,402,"F","4"
23,93.4,"M","2"
38,376.2,"F","3"
38,412.6,"F","1"
37,339.6,"M","1"
35,354,"F","4"
27,167.5,"M","4"
24,86.2,"F","4"
20,63.2,"M","3"
34,280.8,"M","2"
28,141.9,"M","1"
29,181.7,"F","4"
36,389.5,"M","4"
43,606.2,"M","4"
27,126.4,"M","1"
24,89.5,"M","2"
17,40.9,"F","3"
8,4.2,"F","3"
23,92.1,"M","1"
23,93.1,"M","3"
36,326.3,"F","3"
37,346.1,"M","3"
33,238.7,"M","1"
34,262.2,"M","2"
27,136.7,"F","1"
30,199.1,"F","2"
17,41,"F","3"
25,137.8,"F","3"
34,263.2,"F","3"
20,58.8,"M","4"
40,482.8,"M","2"
17,34.4,"M","3"
28,139.9,"M","3"
37,338.8,"F","1"
32,203.9,"M","1"
34,266.8,"M","1"
34,261.9,"F","1"
33,253.7,"F","3"
27,169.2,"M","2"
26,125.3,"M","4"
27,126.2,"M","3"
22,86,"F","4"
29,129.7,"M","4"
32,268.3,"F","1"
35,303.6,"M","2"
20,58.9,"F","2"
32,197,"M","3"
37,368.7,"M","2"
15,27.9,"F","1"
25,122.7,"M","2"
43,633,"F","1"
34,267.6,"F","3"
37,358.2,"F","2"
29,179,"F","2"
15,27.8,"F","1"
23,83.3,"F","3"
21,82.1,"F","2"
23,100.9,"M","3"
32,300.5,"M","4"
21,66.6,"F","4"
34,283.4,"M","4"
38,345.8,"F","2"
18,46.1,"M","2"
33,237.4,"F","3"
21,64.8,"F","2"
19,49,"M","1"
40,471.3,"F","1"
13,15.2,"M","3"
34,298.8,"F","3"
37,343.3,"M","1"
34,261.6,"F","1"
25,119.6,"F","1"
29,204.2,"F","4"
18,42.7,"M","1"
31,234.5,"F","1"
37,292,"F","3"
25,122.9,"F","4"
25,106.9,"F","4"
30,187.8,"F","3"
32,193.1,"M","1"
19,52.8,"F","3"
30,211.3,"F","3"
38,372.2,"M","3"
11,12.1,"M","4"
27,130.8,"M","2"
32,288.3,"M","4"
27,151.2,"F","2"
30,161,"F","4"
29,188.8,"F","3"
42,462.1,"F","3"
30,235.1,"F","2"
28,156.4,"F","4"
39,424,"M","4"
21,65.3,"M","2"
36,303.4,"M","4"
39,376.2,"F","3"
37,353,"M","2"
27,157,"F","3"
27,140.8,"M","2"
33,308.2,"F","4"
27,153.3,"F","3"
13,15.9,"M","4"
37,355.9,"M","2"
34,199.8,"M","3"
12,12,"F","2"
29,146.3,"M","1"
11,9.2,"F","3"
19,48.8,"M","1"
32,245.2,"M","3"
34,318.3,"M","4"
39,359.5,"F","3"
21,69.8,"F","1"
34,287.9,"F","2"
30,201.2,"F","2"
17,38.2,"M","1"
29,140.2,"M","2"
23,95.1,"F","1"
32,249,"F","3"
23,77.7,"M","1"
29,179.2,"F","2"
37,370.2,"F","1"
22,68.9,"M","2"
27,134,"F","4"
28,170.1,"M","4"
29,150.7,"M","2"
39,388.7,"M","3"
38,437.7,"M","3"
18,47.5,"M","2"
36,319.9,"F","4"
27,166.3,"M","1"
28,178.7,"M","3"
35,303.6,"F","1"
19,46.8,"M","4"
35,241.7,"F","2"
28,152.5,"M","3"
15,25.9,"F","1"
41,644.2,"M","1"
34,249.3,"M","2"
33,227.2,"F","4"
30,167.8,"F","3"
40,458.4,"F","2"
22,78.8,"M","2"
23,91,"F","3"
38,425.9,"M","2"
37,355.9,"F","4"
33,281.6,"M","4"
34,253.6,"M","4"
17,41.6,"M","2"
24,101.7,"F","3"
17,35.4,"M","3"
22,90.7,"M","4"
38,361.5,"M","4"
26,116.7,"M","1"
26,111,"M","1"
19,58.1,"M","4"
30,207.9,"F","2"
42,614.4,"M","1"
40,431.9,"F","3"
30,190,"F","2"
34,249.5,"M","4"
37,309.6,"M","3"
11,10.9,"F","2"
21,71.6,"F","4"
37,308.3,"M","4"
27,112,"M","4"
35,297.9,"F","4"
24,98.5,"F","1"
26,160.1,"F","1"
21,72.2,"M","3"
19,50.5,"F","1"
19,59.2,"F","3"
13,16.4,"M","4"
29,143,"F","3"
42,593.2,"M","3"
23,95.7,"M","4"
35,257.3,"F","3"
38,390.3,"F","2"
37,340.2,"F","2"
31,206.7,"M","1"
40,413.4,"M","3"
34,278.1,"M","2"
36,415.7,"M","1"
34,299.8,"M","2"
34,243.3,"F","2"
22,96.8,"F","3"
42,531.4,"F","4"
10,6.9,"M","1"
35,336.5,"M","1"
24,99.9,"F","4"
26,125.9,"M","3"
29,164.2,"M","1"
26,117.4,"M","4"
28,168.9,"F","1"
42,442,"F","1"
27,140.1,"F","2"
13,16.2,"F","2"
28,153.4,"F","4"
29,205.4,"M","4"
26,134.9,"M","4"
31,208.6,"F","4"
24,103.4,"F","4"
22,86.5,"M","4"
35,294.9,"F","4"
28,164,"M","2"
40,492,"F","1"
37,368.4,"F","4"
32,258.7,"M","2"
40,433.1,"F","3"
21,71.8,"F","4"
39,418.8,"F","4"
35,278.2,"M","4"
23,111.8,"F","2"
22,67.8,"M","2"
38,373.3,"F","3"
31,160.6,"F","2"
13,17.5,"F","2"
39,492.1,"M","4"
33,225.2,"M","1"
22,74.8,"F","3"
19,54.7,"M","4"
31,222.3,"M","1"
23,91.5,"F","4"
10,7.4,"F","3"
23,87.9,"F","3"
17,36.9,"M","2"
38,321.9,"F","3"
29,164.3,"M","4"
27,136.7,"F","2"
36,326.5,"M","2"
34,291,"M","1"
26,120.4,"F","3"
32,181.2,"M","2"
32,205.9,"F","4"
24,94.5,"F","1"
28,155.7,"M","2"
23,86.4,"F","2"
40,419.4,"M","2"
27,165,"F","1"
25,117.8,"F","4"
35,267.7,"M","1"
30,213.5,"M","3"
34,272.6,"F","1"
16,33.4,"M","3"
35,286.8,"F","4"
15,23.5,"M","1"
20,69.6,"F","2"
15,24.9,"F","4"
35,291.2,"F","1"
29,168.3,"M","2"
36,337.1,"F","1"
39,458.9,"F","1"
39,366.6,"F","3"
23,84.6,"M","3"
40,398.1,"M","3"
19,53.5,"M","1"
25,120.8,"F","1"
28,161.2,"F","2"
18,47.1,"F","2"
32,276.1,"F","4"
28,203.7,"F","3"
29,181.8,"F","1"
28,169.9,"M","2"
40,480.1,"M","2"
40,498.7,"M","2"
29,172.3,"M","3"
27,141.6,"M","2"
39,443.5,"F","1"
39,433.1,"M","2"
25,104.8,"F","1"
15,28.7,"M","4"
40,330.8,"M","3"
33,211.5,"M","3"
24,123.4,"F","4"
27,133.3,"F","2"
22,68.1,"M","1"
41,521.6,"F","4"
21,62.1,"F","3"
31,300.7,"M","4"
34,255.9,"F","2"
27,122.3,"M","4"
31,280.8,"F","4"
30,208.3,"F","2"
14,26.1,"M","2"
35,290.6,"M","3"
26,137.2,"F","3"
17,39.3,"M","3"
38,387.8,"F","3"
17,39.3,"F","4"
25,99,"M","4"
24,127.1,"M","4"
29,226.5,"M","2"
37,365.6,"M","2"
43,549.3,"M","3"
40,436.6,"F","3"
29,193.5,"F","2"
21,65.3,"M","3"
18,39.5,"F","4"
29,193.4,"M","1"
18,47.5,"M","3"
30,180.5,"M","1"
18,50.4,"F","3"
13,15.9,"F","3"
21,49.2,"F","4"
38,387.3,"F","1"
31,221.9,"F","2"
25,110.5,"M","4"
35,303.5,"F","1"
20,65.1,"M","3"
20,60,"M","2"
29,166.3,"F","4"
28,134.4,"F","3"
20,57.8,"F","2"
30,182.4,"M","2"
22,80.7,"M","4"
42,546.2,"F","1"
39,456.2,"M","2"
28,159.9,"F","1"
10,8.8,"F","2"
22,61.4,"F","1"
25,131.1,"M","4"
20,57,"M","3"
35,263.6,"F","3"
34,270.1,"M","3"
26,125.3,"M","2"
26,134,"M","1"
34,277.9,"M","4"
41,509,"M","2"
20,61.9,"F","4"
29,175.7,"F","3"
20,78.3,"F","4"
37,346.6,"M","2"
24,99.6,"F","2"
30,212,"F","3"
25,96.7,"M","4"
27,165.1,"F","2"
34,362.6,"F","2"
19,61.1,"F","1"
32,234.1,"F","3"
42,598.4,"M","2"
25,106.6,"F","2"
38,387.1,"M","1"
16,30.3,"F","3"
36,374.5,"M","3"
28,137.9,"F","3"
36,329,"F","2"
40,348.7,"F","4"
26,131.6,"F","4"
34,274.4,"F","3"
30,211.3,"F","3"
20,57,"M","3"
34,317.1,"F","2"
30,193.8,"M","4"
31,196.7,"F","2"
29,187.7,"F","1"
34,259.9,"F","3"
21,66.1,"F","4"
28,160.4,"M","2"
35,367.5,"M","2"
18,34.6,"F","2"
33,339.9,"M","4"
22,69.6,"F","2"
35,258.8,"M","2"
19,47.1,"F","4"
39,340.5,"M","2"
30,191.3,"M","4"
34,292.8,"M","2"
26,110,"M","1"
39,461.8,"F","1"
15,23.6,"M","1"
22,81.7,"F","1"
30,207.8,"M","3"
21,60.1,"F","2"
28,162.9,"F","3"
24,100.3,"F","1"
30,171.9,"F","3"
24,93.4,"F","3"
42,488.6,"F","3"
17,44.2,"M","4"
8,3.5,"F","2"
25,111.7,"F","4"
35,264.6,"M","2"
10,9.3,"M","4"
36,377.3,"F","1"
26,132.7,"F","3"
29,181.6,"M","3"
25,100.2,"M","1"
33,250.9,"F","2"
34,298.8,"M","3"
39,400.3,"F","4"
14,20.6,"F","1"
15,27.5,"F","1"
30,187.2,"F","3"
32,269.7,"F","4"
16,31.3,"F","2"
38,442.8,"F","3"
24,82.7,"M","1"
35,328.7,"F","4"
29,165.3,"M","3"
33,220.5,"F","1"
23,85.6,"F","4"
32,240.4,"F","3"
21,76.8,"F","4"
33,257.4,"M","3"
23,91.5,"F","3"
20,65.4,"M","1"
25,88,"M","2"
36,375.6,"F","2"
31,191.8,"M","2"
22,97,"M","4"
30,202.6,"M","3"
32,247.7,"F","3"
32,212.4,"F","2"
29,193.1,"F","4"
35,291.6,"F","1"
37,283.3,"M","1"
36,363.7,"M","2"
32,199.4,"M","4"
32,237.4,"M","2"
31,174.3,"M","1"
25,108.3,"F","3"
28,142.9,"F","4"
26,125.3,"M","3"
37,311.8,"M","1"
24,105,"F","2"
42,507.1,"M","2"
38,387,"F","1"
27,160.6,"M","4"
31,182.6,"F","1"
24,109.9,"F","4"
13,13,"F","2"
27,136.6,"M","3"
40,428.2,"M","2"
31,225.1,"F","3"
26,102.9,"M","3"
37,360.3,"M","2"
36,251.6,"F","4"
25,90,"F","2"
33,239.9,"F","2"
35,279.5,"F","4"
21,79,"M","2"
16,32.5,"F","3"
17,38.9,"M","1"
30,215,"M","1"
25,116.5,"M","4"
35,321.1,"M","4"
11,11.3,"M","4"
20,57.3,"F","2"
17,30.7,"F","3"
29,151.5,"M","2"
21,76,"F","3"
37,419.2,"F","4"
33,309.4,"M","3"
34,342.2,"M","2"
22,86.5,"F","4"
20,84,"M","3"
29,173.2,"F","1"
30,199.8,"F","3"
34,242.7,"M","4"
8,3.6,"M","2"
38,373.9,"F","4"
10,8.4,"M","1"
25,111.6,"M","4"
27,158.8,"F","4"
11,11.6,"M","4"
15,24.3,"F","2"
25,135.6,"M","4"
24,109,"F","1"
35,295.3,"M","4"
34,282.4,"F","1"
30,198.7,"M","3"
40,403.5,"F","4"
31,235.4,"F","4"
29,183.8,"F","1"
17,34.1,"F","1"
27,145,"F","2"
14,29.6,"M","3"
41,507.5,"M","3"
20,54.4,"M","2"
23,111,"F","2"
41,463.2,"M","3"
30,166.8,"F","1"
29,165.8,"M","4"
8,4.2,"M","3"
33,196.5,"F","4"
41,410.6,"F","4"
29,163.6,"F","3"
34,325.7,"F","2"
28,146.4,"M","2"
21,74,"M","1"
18,49.7,"F","2"
17,41.5,"M","4"
10,6.5,"F","4"
12,14.3,"M","2"
32,222.9,"M","4"
33,213.9,"F","1"
16,30.6,"F","4"
34,283.1,"M","2"
28,150.9,"M","3"
33,290,"M","2"
33,249.4,"M","4"
28,155.9,"F","3"
30,160,"F","3"
38,364.2,"F","1"
25,116.7,"F","2"
35,316.8,"M","1"
29,188.8,"F","4"
22,72.4,"M","2"
43,569,"M","2"
28,172.3,"F","3"
35,256.7,"M","3"
29,188.6,"F","3"
38,399.7,"M","4"
11,10.6,"F","4"
30,190.9,"F","3"
19,45.7,"F","2"
24,98.5,"F","2"
36,309.1,"F","3"
31,177.6,"M","1"
29,179.1,"M","1"
33,240.1,"F","2"
36,329.3,"M","4"
33,197.9,"M","2"
25,127.6,"F","1"
19,47.1,"F","2"
27,126.7,"F","1"
26,118.2,"M","3"
33,251,"F","3"
19,48.8,"F","3"
38,377.7,"M","3"
28,154.9,"M","3"
22,103.3,"F","4"
40,456.1,"F","1"
34,287.1,"M","2"
28,176.4,"F","1"
25,133.6,"M","1"
12,14,"M","3"
11,11.7,"M","4"
38,375.6,"F","4"
10,9.7,"F","1"
38,473.2,"M","4"
20,58.4,"F","1"
39,485,"M","4"
27,140.8,"F","4"
24,97.5,"F","2"
29,161.5,"M","4"
32,202.1,"F","3"
27,165.7,"M","3"
26,122.2,"M","3"
22,83.9,"M","2"
21,68.5,"F","1"
40,444.9,"M","4"
14,18.6,"F","2"
28,155.2,"F","4"
33,270.6,"F","4"
37,441,"F","1"
38,374.7,"M","3"
19,50.7,"F","4"
24,103.1,"F","2"
25,117.9,"M","3"
22,72.2,"F","1"
29,145.6,"F","4"
23,128.1,"F","4"
32,204.4,"M","4"
39,440.1,"M","3"
32,220.7,"M","1"
31,180.4,"M","1"
15,24.1,"F","3"
15,26.3,"F","3"
17,33.9,"F","2"
33,287.5,"M","2"
26,110.5,"F","2"
27,129,"F","2"
40,417.2,"M","1"
18,42.6,"F","1"
22,85.4,"M","3"
26,148.2,"M","1"
36,330.4,"M","2"
14,18.3,"M","4"
30,178.1,"F","2"
26,128.9,"M","4"
30,177.9,"F","3"
31,240.1,"M","2"
30,197.8,"F","2"
36,312.9,"F","3"
22,72.9,"F","4"
13,15.9,"M","1"
26,148.7,"F","3"
26,124.2,"F","4"
36,380.7,"F","3"
14,24.7,"M","1"
29,151.4,"F","2"
20,60.8,"F","1"
33,274.5,"F","1"
29,167.6,"F","3"
37,414.7,"M","4"
41,585.5,"M","2"
21,69.7,"F","4"
22,76.3,"F","3"
19,49.3,"M","3"
15,25.8,"M","4"
38,334,"F","2"
27,134.1,"F","4"
37,292.1,"M","4"
35,329.2,"M","1"
16,32.6,"F","1"
26,111.7,"M","4"
20,56.6,"F","3"
36,299.9,"M","3"
33,266,"M","4"
29,157.3,"M","2"
33,279.1,"F","3"
34,268,"F","1"
33,245.4,"M","4"
17,38.8,"F","2"
41,474.6,"M","2"
28,167.8,"F","1"
21,82.1,"F","2"
34,295.4,"F","4"
13,19.7,"M","1"
16,35.2,"F","4"
28,130.7,"F","2"
9,6.1,"M","2"
20,63.6,"F","3"
30,165.5,"M","4"
29,246.3,"F","1"
8,3.8,"F","3"
32,220.7,"M","3"
14,25.5,"M","4"
12,13.5,"F","2"
22,89.8,"M","1"
23,89.7,"F","2"
17,41.2,"M","3"
34,292.4,"F","4"
30,183.7,"M","2"
34,379.7,"F","2"
35,273.3,"M","2"
36,333.5,"F","3"
20,54.9,"F","4"
32,216.9,"M","1"
26,111.2,"M","2"
33,268.3,"F","3"
32,213.6,"M","4"
30,153,"F","2"
32,241,"M","4"
30,190,"F","3"
17,41.1,"M","4"
34,275.3,"M","4"
37,371,"M","2"
39,413.1,"F","2"
35,312.1,"F","2"
36,397.8,"F","2"
28,175,"M","4"
34,196.2,"M","2"
38,415.5,"M","2"
29,197.4,"F","3"
29,180.9,"M","1"
20,54.5,"M","2"
28,155.2,"F","1"
36,298.1,"F","1"
37,314.3,"F","1"
26,120.4,"F","2"
24,99.8,"F","3"
31,241.5,"M","4"
29,180.6,"M","4"
22,75.3,"M","3"
42,671.8,"F","1"
25,118.9,"F","4"
28,181.6,"M","4"
27,128.9,"M","2"
40,422.5,"M","2"
19,45.7,"M","3"
37,375.8,"M","2"
32,200.1,"F","1"
42,597.9,"M","3"
36,283.4,"F","4"
20,52.5,"F","2"
25,102.9,"M","4"
11,8,"M","2"
8,3.5,"F","3"
28,159.6,"M","2"
41,536.8,"F","2"
23,81.6,"M","3"
10,8.2,"F","1"
25,113.9,"M","3"
32,279.2,"F","3"
33,258.5,"F","1"
27,164.5,"F","3"
35,282.7,"M","3"
18,39,"M","4"
19,59.8,"F","1"
25,103.6,"F","2"
20,51.1,"F","3"
31,251.8,"M","3"
25,101.2,"M","3"
26,132.8,"M","2"
31,161.8,"F","3"
37,337.1,"M","1"
29,154.1,"F","2"
30,215.5,"F","2"
26,139.6,"F","4"
30,209.9,"F","1"
33,246.9,"M","4"
25,107.9,"M","4"
24,84.2,"F","3"
30,239.4,"M","2"
40,472.6,"M","4"
30,190.4,"M","4"
22,76.2,"M","3"
31,192,"F","3"
20,66.2,"F","2"
33,257.8,"M","3"
25,127.7,"F","3"
32,227.2,"M","3"
20,57.9,"F","4"
32,230,"F","4"
25,104.7,"M","1"
15,25.5,"F","2"
40,450.1,"M","4"
38,307.6,"M","3"
31,231.5,"M","2"
16,37.9,"F","2"
28,151.6,"F","4"
25,112,"M","1"
27,118.5,"F","1"
29,186.1,"F","3"
37,387.2,"M","1"
40,536.8,"F","4"
25,106.3,"F","4"
22,72.4,"M","2"
27,150.7,"F","3"
29,160.1,"M","3"
20,54.4,"M","2"
36,346.6,"M","1"
31,200.3,"M","3"
29,180.3,"M","3"
30,209.3,"F","3"
26,111.4,"M","3"
42,400.1,"M","1"
31,222.2,"F","4"
30,158.6,"M","1"
33,228.3,"F","2"
25,105.7,"M","2"
37,383,"M","3"
32,254.3,"M","1"
33,215.2,"M","3"
24,106.6,"F","1"
31,206.5,"M","2"
22,72.5,"F","3"
26,106.9,"F","3"
27,156,"F","2"
37,371.4,"M","2"
22,80.8,"M","1"
38,363.8,"M","1"
27,128.5,"F","3"
30,160.5,"M","4"
18,48.7,"F","2"
27,147.8,"F","1"
30,183.9,"M","4"
34,207.3,"F","4"
14,21.2,"M","3"
37,425.2,"F","1"
37,348.6,"M","1"
26,144.7,"F","2"
30,231.2,"M","1"
20,56.5,"F","4"
29,212.5,"M","4"
30,203.8,"F","3"
33,223.2,"F","3"
31,185.8,"F","4"
32,189.6,"F","3"
14,21.1,"F","2"
26,119.9,"M","3"
31,190.5,"F","1"
14,23.8,"M","2"
27,129.9,"M","1"
11,8.9,"M","4"
28,137.3,"F","2"
23,69.4,"M","2"
31,207.3,"M","3"
21,67.6,"M","1"
33,256.8,"M","3"
19,57.4,"F","2"
25,103.5,"F","1"
22,80.8,"M","2"
22,81.2,"M","1"
30,139.5,"F","1"
41,504.8,"F","2"
28,148.5,"M","1"
36,343.7,"M","4"
36,393.1,"F","2"
26,109.9,"M","3"
26,136.4,"M","2"
36,442.7,"F","1"
26,117.6,"F","2"
38,348.1,"F","3"
19,48.1,"M","2"
36,367.2,"M","2"
28,190.7,"F","2"
26,115.8,"F","2"
17,31.4,"M","3"
39,457,"F","1"
13,14.3,"F","1"
40,521.4,"M","2"
40,544.1,"M","1"
28,135.8,"F","4"
37,377.7,"F","1"
21,78.8,"F","4"
33,233.5,"F","1"
18,44.2,"F","4"
31,243.5,"F","4"
19,51.8,"M","4"
24,90.8,"F","4"
31,177.4,"F","3"
20,47.8,"F","2"
34,230.2,"F","1"
33,240.6,"F","2"
31,184.1,"M","2"
11,9.9,"M","3"
34,266.2,"M","2"
33,254.4,"M","1"
33,212.4,"F","4"
30,171.7,"M","4"
34,282.6,"M","4"
34,252.8,"M","1"
30,204.2,"M","3"
30,190.3,"M","3"
17,39.9,"M","4"
26,133.5,"M","4"
24,84,"M","4"
28,170.6,"M","3"
16,33.2,"M","4"
33,259.8,"M","4"
39,490.3,"M","2"
33,227.9,"M","2"
36,363.6,"F","2"
31,191.7,"M","4"
19,50,"F","4"
24,98.6,"M","2"
28,170.5,"F","3"
34,241.5,"M","2"
37,309.3,"F","3"
39,490.9,"M","3"
38,351.3,"F","2"
11,9.7,"F","4"
32,206.2,"F","1"
28,176,"M","3"
31,208.5,"M","1"
32,199.7,"M","1"
37,329.2,"F","4"
42,424.3,"M","3"
30,178.4,"M","2"
26,128,"M","2"
20,57.6,"F","1"
24,103.2,"F","4"
28,135,"M","2"
35,300.5,"F","4"
33,226.4,"F","2"
13,19.4,"F","1"
19,44.6,"M","1"
40,433.3,"F","4"
20,70.7,"F","4"
22,60.5,"M","2"
38,334,"M","3"
20,54.8,"M","2"
28,139.3,"F","1"
15,25.7,"M","2"
26,115.5,"M","3"
24,86.6,"M","4"
17,43.9,"F","3"
43,595.7,"F","1"
30,207,"F","1"
33,253.2,"F","3"
